,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-11-01,129003.13114343677,206509.00051392932,111539.47761022804,160116.23734673683,179454.89964971712,112616.24900527995,119389.43351769594,211355.15748353399,139872.93501137968,179069.40621739245,191019.62353901876,132456.31422287677,174305.5141561324,156388.77829061588,202171.77949644477,141850.835868526,174018.40901792442,129187.49009756127,,134819.27471217225,106521.86574280048,155661.88861172367,100488.36829600821,116046.33169064985,130892.96026420209,119711.31903599504,110738.75207400136,152969.05666473825,,138018.29794479412,138564.79675272995,111407.42409404309,100710.00372111854,121018.13485683367,89076.16133545495,87432.67397487948,97034.89979302084,74245.2388791694,122651.4473934468,,169943.4757471994,87134.95547684487,99475.4551451755,88476.14750059262,151170.28240670697,,82669.97851449868,105135.52382191177,114337.20542965434,91507.74343481746,107207.71988745301
2000-12-01,129907.11354538817,208836.10813065353,112261.50384359104,161367.64635377764,180870.25339113976,112985.48647762096,120221.70431466092,214257.38899725108,140504.68997444207,179864.43048517898,192964.95717347282,133317.4640694545,174665.8785107525,157084.5592060711,202947.34626131316,143643.75008507248,174540.66032173112,130124.36052629579,,136409.81170458577,107123.47262171221,156530.26071901107,100961.02530940471,116483.79293158771,131472.1416712059,120590.50700449274,111143.11544377706,153413.0788051256,,139088.94065808656,138910.5580466213,112455.45509390238,101155.31745693798,121593.44480057251,89564.22034218484,88057.651219599,97676.96154533378,74823.65982044693,122890.622780998,,171186.9605728442,87558.84111681662,100171.38931951184,88898.00958984687,151926.15043546676,,83053.51034851484,105035.23671694954,114663.25699819652,91984.08679086727,107659.55990134377
2001-01-01,130817.4226258993,210804.7266493585,112921.70435104867,162567.93340614546,182194.96806974406,113205.93800851757,121008.14538323709,216879.87162784362,141119.93337156167,180696.20313959476,194916.0055287611,133935.6090597687,175467.77420209674,157797.89202962283,203596.82707800207,145275.9334385712,175026.86052355552,131033.8118790912,,137843.9087170226,107790.57222384775,157246.95902438252,101427.56906265057,116993.3383105845,132070.28897118577,121371.1995311138,111605.0553473871,153913.66430261615,,140139.80638890408,141355.11648862678,113745.2975906759,101652.75089501083,122120.3531470053,90141.28063270722,88626.50544080285,98140.07856036007,75527.4389569275,123278.34642147075,,172276.48120213673,88051.93144605464,100690.5874532019,89422.75991168215,152764.142575659,,83480.35205119418,105095.4745920872,115161.12935634486,92307.28689179818,108078.80053066852
2001-02-01,131624.86770106046,212751.285838944,113577.61426022158,163566.89037050054,183656.3659017676,113172.627558941,121615.48948802067,219274.49190660336,141733.6247869388,181518.84268145973,196754.0515787898,134554.98545821235,176289.09315452326,158554.8366799628,204239.04987036038,147022.9473065549,175306.52715068808,131816.45132735607,,139127.2492133878,108372.47703850995,157898.43759957512,101854.14216373807,117449.24191943847,132516.33063007006,122244.29087398981,111970.96499888475,154337.7324938179,,141191.8488111427,145223.7054207933,114939.01012052169,102074.02634276572,122635.23480356783,90512.80610833433,88968.53142011222,98298.64050667033,75967.88900852624,123671.3976833888,,173181.21490748748,88501.783349714,101049.72087743906,90028.34035951417,153448.49104853207,,83894.58553703372,105312.03369860601,115495.14447767504,92598.88529116359,108412.33982164592
2001-03-01,132456.82258488846,214942.2987472097,114263.2804980852,164467.88352288716,185107.85085218833,112952.03404254459,122111.9345098881,221634.75266941145,142350.2330335958,182292.77439118503,198617.4490874729,135226.4234427138,177448.50448881162,159379.2391423681,204814.20934453656,148667.24742658564,175474.49726313865,132484.82761238553,,140401.90053114766,108932.91404422575,158452.23543903112,102283.18709408655,117921.31490651052,132877.07386263204,123158.71813784936,112277.79072115348,154788.3668880847,,142312.89418203285,150162.3021298515,116056.74644744217,102421.19225343577,123149.98486208972,90791.86048367921,89177.95640115738,98297.29551614367,76300.15197237939,124212.44615982252,,174187.40479940188,88930.65583263319,101447.2524396868,90665.58130648422,154193.8601478832,,84253.48406293664,105756.54583862731,113169.81654988714,92784.93424022284,108722.0805881205
2001-04-01,133326.44700331648,217666.52597322516,115073.21816394723,165408.55696841795,186641.57322296067,112822.79458413103,122546.92358335503,224073.33949182238,142977.0984561186,183049.7019923764,200431.56248198575,135910.54347064823,179213.44490715177,160203.46403463616,205501.08433381145,150363.3464580118,175649.02766970743,133100.9328133193,,141782.32152844945,109421.6674326646,159197.62881225266,102743.54716492828,118244.62834189578,133143.7405781525,124077.32258851799,112521.58665662305,155181.74395147132,,143616.35029004965,153900.30650575922,116937.33214401234,102671.50342479632,123717.75940728722,90965.40313480179,89353.37381017936,98253.27769820392,76455.94533714226,124733.40133413156,,175349.84943503482,89315.22950323559,101958.67590863467,91215.52790349303,154904.61028242428,,84590.64127841241,106156.4721685114,109849.89464959025,93041.9844069421,109028.79155274061
2001-05-01,134288.33679397826,220396.39322483758,115960.34419080493,166447.4423395636,188155.30565793207,112866.18764777183,123074.62593896636,226592.79536232408,143613.39591627548,183704.0435367742,202242.07632420675,136724.68284773556,181228.0943078094,161080.8886228834,206493.9108118821,152256.47926906068,175748.27798910133,133781.53624633723,,143192.90177417896,109868.19586945818,160070.08752119646,103184.121250751,118609.5697887503,133454.00952482325,124925.74695985967,112802.94596332335,155623.58938407942,,145002.98144763403,156997.81321124572,117989.99498719617,102919.33820225734,124304.3216045407,91283.27680120246,89668.61960781256,98447.65943489641,76760.80018708571,125243.17372422879,,176659.0590875106,89717.10044999006,102565.67651099758,91729.14363250024,155641.68434317768,,84886.10406004889,106741.76237697793,106414.23547197513,93336.28122762548,109361.55139087408
2001-06-01,135250.43012265267,222876.25178563842,116886.36073792714,167594.1219067032,189841.63576240014,112997.76507099275,123613.3541711768,229238.22098195498,144255.20326055522,184373.70946804783,203859.81192825557,137582.66520119816,183171.68793402868,161931.75873654638,207621.99357460302,154282.5494754716,175914.40974499425,134461.12900793474,,144604.78863365925,110276.81305275194,161120.30554174047,103632.68411927046,118997.19188305868,133766.0910010098,125726.26787673809,113077.63678363159,156084.31658088035,,146433.19709961858,159598.86178345812,119151.55526004329,103174.52311200967,124923.04171109198,91644.40785341973,90003.20452881209,98792.6113652551,77069.8878907159,125622.36516523715,,177978.68998902975,90145.13701463751,103229.38127423904,92226.59196310915,156365.4157985587,,85179.24204753985,107043.29102823515,105549.43514673629,93711.6679343732,109689.14498897841
2001-07-01,136286.34134575442,225197.9592972085,117881.85547366338,168797.96453959355,191657.54973932923,113152.32854896777,124171.85633619358,232043.53649499567,144865.81886174547,185007.07890291177,205455.21562594315,138467.75112615942,185125.23643561886,162838.44263108948,208860.4166351351,156310.25538391763,176052.52656750605,135138.93771578922,,146085.52559078965,110669.20200407988,162249.0678341648,104115.28942150173,119471.93741720846,134063.98286573702,126547.57505580853,113340.90759417058,156623.72970899427,,147966.63805053997,162038.5726606342,120460.7208191391,103463.22865316196,125582.06565475953,92060.75789420538,90281.01457413942,99211.59843124263,77378.89073068165,126011.38558544342,,179257.88852028735,90572.13119599475,103907.4758671766,92714.25832667742,157054.404922135,,85455.35588932969,107331.62264085187,105523.06775136525,94091.4568731014,110054.6420145466
2001-08-01,137329.88835994297,227434.95918425638,118937.01305768774,170061.6366753507,193661.9963175501,113291.16201151417,124763.6900135278,235100.3185528485,145469.68387100907,185787.38260533463,207026.8463482186,139551.03737526562,187278.81879741306,163763.26337563907,210068.49879953242,158162.52416487742,176321.3688980237,135827.2648073047,,147697.97566929858,111111.25276664924,163493.747552384,104646.9146196521,119859.8750474787,134402.9902581767,127303.25892495057,113650.95212511178,157237.36132562888,,149800.25341119114,163804.20303857818,121583.3568418428,103719.95309314998,126276.12030993785,92407.39255774386,90596.55333277764,99579.64638175913,77665.29431116418,126482.80918367526,,180913.9450110026,90949.19299260298,104529.48730055946,93171.73064635442,157784.15957091036,,85763.81740848986,107400.560340448,105686.81545717524,94506.57753507172,110460.35337424047
2001-09-01,138405.74108863267,229606.17715572138,120030.90866373929,171297.56319639823,195811.36176893945,113437.17648944893,125407.1861851061,238069.8726697314,146077.48418270564,186495.96232778966,208503.31386897224,140794.44553083574,189568.16627777208,164717.74238383138,211404.59795298285,160023.89941103486,176571.00925422084,136513.15261641855,,149419.00258043662,111558.82905487575,164768.72198080696,105184.99557005882,120191.7550471734,134749.5514434903,128066.18943038119,113979.48140387377,157812.7965293728,,151815.36143766157,165044.24828839605,122648.70386792744,104008.41199088252,126974.1311145067,92704.72557396501,90886.86923506389,99776.30186050847,77908.5689607155,126991.20493593311,,182747.30339168812,91273.5430947502,105127.2979625193,93582.8141309851,158560.13439088178,,86087.98094533566,107490.61871581183,105915.44937874719,94921.05684522026,110874.15603701957
2001-10-01,139435.7750503998,231636.3126972851,121127.80588159691,172598.41997139843,198053.97858184983,113589.90444176132,126058.6757121702,241235.4841656596,146734.21096509774,187287.20155775757,209793.504432678,142224.9288214676,191863.90899286288,165687.1641233824,212770.81094793254,161810.8717078181,176833.2586222771,137191.25944579518,,151196.95653297566,111997.65982863442,165984.45667786853,105679.43949515984,120501.69737044798,135131.01742776262,128886.4821351653,114340.06780066261,158367.4627811592,,154065.85982186833,165869.73093040692,123606.68224732969,104339.97361319582,127652.12876246485,92895.3003637957,91336.19863872563,100077.44059097215,78170.0205110102,127469.35201228083,,184813.94504551464,91558.87036896504,105751.74157263612,93987.49012610935,159388.75460665248,,86391.69521254151,107696.72481485474,106135.64049419708,95342.41588581655,111271.23867738967
2001-11-01,140501.81492018097,233543.49756600687,122179.77246797574,173960.19373807686,200105.04038523525,113701.49321151791,126649.96160177073,244345.44245823976,147414.66142261252,187982.928938042,210844.87375561017,143316.4161554369,194055.30577783973,166593.15529718364,213983.69047525627,163534.80184378335,177024.91208567083,137805.80251905034,,152889.04972561297,112417.8898036119,167174.69546377656,106181.52086664137,120826.40743981877,135428.90304080237,129861.59973294551,114635.51708612085,158861.45664440998,,156078.23769461786,166817.35736320182,124743.38636626804,104665.07783708349,128296.95578108639,93026.5531851898,91673.12204871897,100312.40577497178,78327.78609963128,127773.2643597898,,186619.7147963692,91831.37805406419,106417.07328724653,94378.78113401901,160250.72436640397,,86642.11060700187,107942.42797735347,106352.4575227952,95749.71651336114,111630.07078385817
